Date,Open,High,Low,Close,Adj Close,Volume
22/03/2016,105.25,107.290001,105.209999,106.720001,100.268051,32444400
23/03/2016,106.480003,107.07,105.900002,106.129997,99.713692,25703500
24/03/2016,105.470001,106.25,104.889999,105.669998,99.281532,26133000
28/03/2016,106,106.190002,105.059998,105.190002,98.830544,19411400
29/03/2016,104.889999,107.790001,104.879997,107.68,101.170006,31190100
30/03/2016,108.650002,110.419998,108.599998,109.559998,102.936356,45601100
31/03/2016,109.720001,109.900002,108.879997,108.989998,102.400795,25888400
01/04/2016,108.779999,110,108.199997,109.989998,103.340347,25874000
04/04/2016,110.419998,112.190002,110.269997,111.120003,104.402031,37356200
05/04/2016,109.510002,110.730003,109.419998,109.809998,103.171249,26578700
06/04/2016,110.230003,110.980003,109.199997,110.959999,104.251701,26404100
07/04/2016,109.949997,110.419998,108.120003,108.540001,101.978004,31801900
08/04/2016,108.910004,109.769997,108.169998,108.660004,102.090752,23581700
11/04/2016,108.970001,110.610001,108.830002,109.019997,102.428986,29407500
12/04/2016,109.339996,110.5,108.660004,110.440002,103.763138,27232300
13/04/2016,110.800003,112.339996,110.800003,112.040001,105.266418,33257300
14/04/2016,111.620003,112.389999,111.330002,112.099998,105.322792,25473900
15/04/2016,112.110001,112.300003,109.730003,109.849998,103.208817,46939000
18/04/2016,108.889999,108.949997,106.940002,107.480003,100.982109,60821500
19/04/2016,107.879997,108,106.230003,106.910004,100.446556,32384900
20/04/2016,106.639999,108.089996,106.059998,107.129997,100.653252,30611000
21/04/2016,106.93,106.93,105.519997,105.970001,99.563393,31552500
22/04/2016,105.010002,106.480003,104.620003,105.68,99.290916,33683100
25/04/2016,105,105.650002,104.510002,105.080002,98.727196,28031600
26/04/2016,103.910004,105.300003,103.910004,104.349998,98.041336,56016200
27/04/2016,96,98.709999,95.68,97.82,91.906113,114602100
28/04/2016,97.610001,97.879997,94.25,94.830002,89.096878,82242700
29/04/2016,93.989998,94.720001,92.510002,93.739998,88.072762,68531500
02/05/2016,93.970001,94.080002,92.400002,93.639999,87.978806,48160100
03/05/2016,94.199997,95.739998,93.68,95.18,89.425705,56831300
04/05/2016,95.199997,95.900002,93.82,94.190002,88.495567,41025500
05/05/2016,94,94.07,92.68,93.239998,88.136368,35890500
06/05/2016,93.370003,93.449997,91.849998,92.720001,87.644852,43699900
09/05/2016,93,93.769997,92.589996,92.790001,87.711006,32936400
10/05/2016,93.330002,93.57,92.110001,93.419998,88.306511,33686800
11/05/2016,93.480003,93.57,92.459999,92.510002,87.446327,28719100
12/05/2016,92.720001,92.779999,89.470001,90.339996,85.395096,76314700
13/05/2016,90,91.669998,90,90.519997,85.565239,44392800
16/05/2016,92.389999,94.389999,91.650002,93.879997,88.741341,61259800
17/05/2016,94.550003,94.699997,93.010002,93.489998,88.372688,46916900
18/05/2016,94.160004,95.209999,93.889999,94.559998,89.384109,42062400
19/05/2016,94.639999,94.639999,93.57,94.199997,89.043816,30442100
20/05/2016,94.639999,95.43,94.519997,95.220001,90.007996,32026000
23/05/2016,95.870003,97.190002,95.669998,96.43,91.151764,38018600
24/05/2016,97.220001,98.089996,96.839996,97.900002,92.541298,35140200
25/05/2016,98.669998,99.739998,98.110001,99.620003,94.167145,38168800
26/05/2016,99.68,100.730003,98.639999,100.410004,94.91391,56331200
27/05/2016,99.440002,100.470001,99.25,100.349998,94.857185,36341200
31/05/2016,99.599998,100.400002,98.82,99.860001,94.39402,42307200
01/06/2016,99.019997,99.540001,98.330002,98.459999,93.070633,29173300
02/06/2016,97.599998,97.839996,96.629997,97.720001,92.371155,40191600
03/06/2016,97.790001,98.269997,97.449997,97.919998,92.560196,28504900
06/06/2016,97.989998,101.889999,97.550003,98.629997,93.231331,23292500
07/06/2016,99.25,99.870003,98.959999,99.029999,93.609444,22409500
08/06/2016,99.019997,99.559998,98.68,98.940002,93.524368,20848100
